country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Finland,  NA,7.67,  NA,7.67,  NA,7.39,7.35,7.42,7.44,7.38,7.45,7.66
Norway,  NA,7.42,  NA,7.63,  NA,  NA,  NA,7.68,  NA,7.44,7.60,7.60
Denmark,8.02,  NA,7.83,7.97,7.68,7.77,7.79,7.52,7.59,7.51,7.51,7.56
Netherlands,7.46,  NA,7.45,7.63,  NA,7.50,7.56,7.47,7.41,7.32,7.32,7.54
Iceland,  NA,  NA,  NA,6.89,  NA,  NA,  NA,7.59,7.50,  NA,7.50,7.51
Switzerland,  NA,7.47,  NA,  NA,7.52,  NA,  NA,7.78,  NA,7.49,7.57,7.46
Sweden,7.38,  NA,7.24,7.52,7.27,7.50,7.38,7.56,7.43,7.24,7.29,7.37
Australia,7.34,  NA,7.29,7.25,  NA,7.45,7.41,7.20,7.36,7.29,7.31,7.25
Canada,7.42,  NA,7.48,7.49,7.49,7.65,7.43,7.42,7.59,7.30,7.41,7.24
New Zealand,  NA,7.31,7.60,7.38,  NA,7.22,7.19,7.25,7.28,7.31,7.42,7.23
