Country,Region,2008,2012,2013,2014,2015,2016
Finland,Western Europe,7.67,7.42,7.44,7.38,7.45,7.66
Norway,Western Europe,7.63,7.68,7.56,7.44,7.60,7.60
Denmark,Western Europe,7.97,7.52,7.59,7.51,7.51,7.56
Netherlands,Western Europe,7.63,7.47,7.41,7.32,7.32,7.54
Iceland,Western Europe,6.89,7.59,7.50,7.50,7.50,7.51
Switzerland,Western Europe,7.52,7.78,7.63,7.49,7.57,7.46
Sweden,Western Europe,7.52,7.56,7.43,7.24,7.29,7.37
Australia,North America and ANZ,7.25,7.20,7.36,7.29,7.31,7.25
Canada,North America and ANZ,7.49,7.42,7.59,7.30,7.41,7.24
New Zealand,North America and ANZ,7.38,7.25,7.28,7.31,7.42,7.23
