Country,Intercept,Slope,Intercept Low,Intercept High,Slope Low,Slope High
Australia,23.99,-0.00828,-19.18,51.95,-0.0221,0.0132
Canada,24.05,-0.00826,-19.19,51.97,-0.0221,0.0132
Denmark,24.15,-0.00823,-19.06,51.97,-0.0221,0.0132
Finland,24.13,-0.00825,-19.08,51.96,-0.0221,0.0132
Iceland,24.06,-0.00826,-19.07,51.91,-0.0221,0.0132
Netherlands,24.08,-0.00826,-19.14,52.00,-0.0221,0.0132
New Zealand,24.02,-0.00828,-19.34,51.90,-0.0221,0.0132
Norway,24.13,-0.00823,-19.12,52.00,-0.0221,0.0132
Sweden,24.05,-0.00826,-19.20,51.97,-0.0221,0.0132
Switzerland,24.13,-0.00823,-19.05,52.05,-0.0221,0.0132
