Country,Intercept,Slope,Intercept Low,Intercept High,Slope Low,Slope High
Australia,26.66,-0.00959,-3.36,57.24,-0.0248,0.00533
Canada,26.69,-0.00957,-3.34,57.28,-0.0248,0.00535
Denmark,26.74,-0.00954,-3.28,57.29,-0.0247,0.00539
Finland,26.72,-0.00955,-3.30,57.29,-0.0248,0.00536
Iceland,26.69,-0.00957,-3.35,57.27,-0.0248,0.00533
Netherlands,26.70,-0.00956,-3.30,57.29,-0.0248,0.00533
New Zealand,26.67,-0.00959,-3.34,57.24,-0.0248,0.00532
Norway,26.73,-0.00954,-3.30,57.29,-0.0247,0.00539
Sweden,26.69,-0.00957,-3.30,57.26,-0.0248,0.00534
Switzerland,26.73,-0.00954,-3.30,57.29,-0.0247,0.00539
